Complexity|MSE|Equation
1|769.8094|38.668636
3|669.0702|(RPM / NOB)
5|597.9039|(RPM / pow(BR, Dc))
7|498.57077|(pow(RPM, Db - SR) / UCS)
9|191.36237|((WOB * 2.058206) / ((UCS / RPM) - NOB))
11|172.37715|(((WOB / UCS) * ((135.38693 / Dc) + RPM)) - 33.93181)
15|91.081276|pow((((WOB / UCS) * 1.2167321) * ((129.08696 / Dc) + RPM)) - 27.972317, 1.0173163)
17|32.711372|((((WOB / UCS) * 1.2167321) * ((129.08696 / Dc) + (RPM - pow(BR, 1.282621)))) - 27.972317)
19|22.921036|pow((((WOB / UCS) * 1.2167321) * ((129.08696 / Dc) + (RPM - pow(BR, 1.282621)))) - 27.972317, 1.0173163)
