Complexity|MSE|Equation
1|939.16016|18.878153
2|827.9264|exp(Db)
4|707.14886|(exp(Db) - NOC)
6|669.3881|pow(NOB / RPM, cos(3.1178064))
7|639.2926|((-1.155626 / NOB) * (-0.32732734 - RPM))
8|339.77005|(BR / cos(0.95865697 * (Dc - UCS)))
9|330.6084|(BR / cos(0.95865697 * (sin(Dc) - UCS)))
10|326.42627|((BR + 0.98664284) / cos(0.95865697 * (Dc - UCS)))
11|123.50362|(((RPM * -1.6596415) / (1.6734104 - (UCS / WOB))) + -9.621421)
13|121.59326|((((Dc + RPM) * -1.6596415) / (1.6734104 - (UCS / WOB))) + -9.621421)
18|69.76403|((((((Db / sin(Dc)) / Dc) + RPM) * -1.6600096) / (1.672911 - (UCS / WOB))) + -10.237226)
19|24.808233|(((((pow(Db / Dc, 2.0099983) / Dc) + RPM) * -1.4218764) / (Dc - (UCS / WOB))) + -23.377113)
