Complexity|MSE|Equation
1|22.39554|x5
3|19.458061|(x2 * 0.21750204)
5|18.062113|((x0 / x3) * x2)
6|13.4802475|(574782.2 * (cos(x7) / x3))
8|13.438421|((x3 + 574782.2) * (cos(x7) / x3))
9|10.563916|((((x0 / x3) / x7) * x2) - x7)
13|9.290601|((((((x0 / x3) * 1.0632613) / x7) * x2) - 5.498899) - x8)
15|9.112203|((((((x0 / x3) * 1.0632613) / x7) * (x2 + 1.3642751)) - 5.498899) - x8)
18|6.637924|(((((x0 / x3) / x7) * (x2 + pow(exp(exp(cos(x3))), 1.3642824))) - 5.4987626) - x8)
20|5.8684793|((((((x0 / x3) * 1.0632553) / x7) * (x2 + pow(exp(exp(cos(x3))), 1.3642824))) - 5.4987626) - x8)
